Name,Number,Reporting jurisdictions (determined by regulator),Principal jurisdiction,Type,In default,Active cease trade order (Ban trading BY/ Ban Trading OF)
RBC Global Growth & Income Fund / Fonds mondial de croissance et de revenu RBC,000037930,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
RBC 1-5 Year Laddered Canadian Bond ETF / FNB dobligations canadiennes échelonnées 1-5 ans RBC,000037939,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Sun Life MFS Low Volatility Global Equity Fund / Fonds d'actions mondiales à faible volatilité MFS Sun Life,000037940,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Sun Life MFS Low Volatility International Equity Fund / Fonds d'actions internationales à faible volatilité MFS Sun Life,000037941,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Sun Life Granite Tactical Completion Fund / Fonds Complément tactique Granite Sun Life,000037943,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
BMO Far East Fund / Fonds de l'Extrême-Orient BMO,000001652,"NL, NT, NU, YT",ON,Investment fund,No,No
Lysander-Triasima All Country Equity Fund / Fonds d'actions tous pays Lysander-Triasima,000037948,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Lysander Balanced Income Fund / Fonds de revenu équilibré Lysander,000037949,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
NCE Diversified Flow-Through (16) Limited Partnership / NCE Diversified Flow-Through (16) Limited Partnership,000037951,"NL, NT, NU, YT",ON,Investment fund,No,No
Counsel Retirement Preservation Portfolio / Counsel Retirement Preservation Portfolio,000037971,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, SK, YT",ON,Investment fund,No,No
Counsel Retirement Foundation Portfolio / Counsel Retirement Foundation Portfolio,000037972,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, SK, YT",ON,Investment fund,No,No
Counsel Retirement Accumulation Portfolio / Counsel Retirement Accumulation Portfolio,000037973,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, SK, YT",ON,Investment fund,No,No
Counsel Defensive Global Equity / Counsel Defensive Global Equity,000037975,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, SK, YT",ON,Investment fund,No,No
Counsel Global Low Volatility Equity / Counsel Global Low Volatility Equity,000037976,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, SK, YT",ON,Investment fund,No,No
Counsel Canadian Core Fixed Income / Counsel Canadian Core Fixed Income,000037977,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Scotia Partners Balanced Income Portfolio Class / Catégorie Portefeuille de revenu équilibré Partenaires Scotia,000037985,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
BMO Global Dividend Fund / BMO Fonds mondial de dividendes,000001653,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Scotia Partners Balanced Growth Portfolio Class / Catégorie Portefeuille de croissance équilibrée Partenaires Scotia,000037986,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Scotia Partners Growth Portfolio Class / Catégorie Portefeuille de croissance Partenaires Scotia,000037987,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Scotia Partners Maximum Growth Portfolio Class / Catégorie Portefeuille de croissance maximale Partenaires Scotia,000037988,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, YT",ON,Investment fund,No,No
NBI Global Real Assets Income Fund / Fonds de revenu d'actifs réels mondiaux BNI,000037992,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",QC,Investment fund,No,No
RP Strategic Income Plus Fund / Fonds de revenu stratégique plus RP,000038016,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
Purpose Premium Yield Fund / Purpose Premium Yield Fund,000038019,"AB, BC, MB, NB, NL, NS, NT, NU, ON, PE, QC, SK, YT",ON,Investment fund,No,No
